index,video_title,video_link,video_length,video_likes,video_dislikes,video_id,video_tags,vector_tags
18543,Big Fat Ass Pornstar Ivy Lebelle Gets Anal By James Deen,https://www.pornktube.tv/videos/18543/big-fat-ass-pornstar-ivy-lebelle-gets-anal-by-james-deen/,43,165,89,18543,"['anal', 'big_tits', 'tattoo']","[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0]"
18545,Maria Haze - Lost Couple Having Sex In A Scenic Location,https://www.pornktube.tv/videos/18545/maria-haze-lost-couple-having-sex-in-a-scenic-location/,29,143,48,18545,"['brunette', 'nudist', 'teen']","[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18524,[Hustler] Kyler Quinn - Crazy Fucking Teen Maids =,https://www.pornktube.tv/videos/18524/mujik-ebet-na-suprujeskom-loje-neradivuyu-domohozyayku/,27,296,105,18524,"['blonde', 'cheating', 'teen']","[0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18513,Bespectacled Smart Guy Turned Out to be a Real Dirty Slut When This Guy Gets to Know Her Better,https://www.pornktube.tv/videos/18513/bespectacled-smart-guy-turned-out-to-be-a-real-dirty-slut-when-this-guy-gets-to-know-her-better/,20,169,94,18513,"['amateur', 'russian', 'teen']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1 0 0]"
18530,Two Mature Men Fuck Young Girl Simultaneously. Her Ass Wasn't Ready For DP,https://www.pornktube.tv/videos/18530/two-mature-men-fuck-young-girl-simultaneously-her-ass-wasn-t-ready-for-dp/,22,277,119,18530,"['anal', 'double_penetration', 'group_sex']","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18527,Amazing Body Blonde Gets Their Fit Pussies Banged By Pool Guy,https://www.pornktube.tv/videos/18527/amazing-body-blonde-gets-their-fit-pussies-banged-by-pool-guy/,33,197,80,18527,"['blonde', 'group_sex', 'tattoo']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0]"
18525,Big Booty Young Blonde Sweetie Fox Gets Assfucked By Stranger Man,https://www.pornktube.tv/videos/18525/big-booty-young-blonde-sweetie-fox-gets-assfucked-by-stranger-man/,19,168,72,18525,"['anal', 'blonde', 'pov']","[0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18519,Dark Skinned Teen Shows Her Big Natural Tits And Gets Anal,https://www.pornktube.tv/videos/18519/dark-skinned-teen-shows-her-big-natural-tits-and-gets-anal/,30,108,51,18519,"['anal', 'black', 'interracial']","[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18529,Perfect Body Pornstar Mia Malkova Gets Fucked After Her Ass Massaged,https://www.pornktube.tv/videos/18529/perfect-body-pornstar-mia-malkova-gets-fucked-after-her-ass-massaged/,27,274,134,18529,"['blonde', 'massage', 'pornstar']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18526,Fitness Trainer Fucks Slim Lady And Cum On Her Big Tits,https://www.pornktube.tv/videos/18526/fitness-trainer-fucks-slim-lady-and-cum-on-her-big-tits/,22,239,108,18526,"['big_tits', 'blonde']","[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18523,Big Tits Naughty Girl Jessie Rogers And Her Bearded Fucker In Amateur Porn,https://www.pornktube.tv/videos/18523/big-tits-naughty-girl-jessie-rogers-and-her-bearded-fucker-in-amateur-porn/,27,299,136,18523,"['amateur', 'cheating', 'homemade']","[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18512,Big Guy Kristof Cale Fucks Elegant MILF's Tight Beautiful Ass,https://www.pornktube.tv/videos/18512/big-guy-kristof-cale-fucks-elegant-milf-s-tight-beautiful-ass/,40,169,64,18512,"['anal', 'big_tits', 'mature']","[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18508,Russian Pornstar Alina Petrenko (Kitana Lure) Gets Her Ass Banged,https://www.pornktube.tv/videos/18508/russian-pornstar-alina-petrenko-kitana-lure-gets-her-ass-banged/,33,340,144,18508,"['anal', 'mature']","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18521,I Hope Our Friend Doesn't Find Out About How We Seduced Her Husband,https://www.pornktube.tv/videos/18521/i-hope-our-friend-doesn-t-find-out-about-how-we-seduced-her-husband/,38,1116,567,18521,"['big_tits', 'cheating', 'feet']","[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18517,Slim Body Young Latina Gets Her Exotic Pussy Banged By Perv Nurse,https://www.pornktube.tv/videos/18517/slim-body-young-latina-gets-her-exotic-pussy-banged-by-perv-nurse/,44,363,173,18517,"['big_tits', 'lesbian', 'strapon']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0]"
18522,Natasha Nice - My Stepson Is Lost But I Will Help The Poor Boy Find The Right Path,https://www.pornktube.tv/videos/18522/natasha-nice-my-stepson-is-lost-but-i-will-help-the-poor-boy-find-the-right-path/,31,627,302,18522,"['big_tits', 'fat', 'pov']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
